sex,labern_decile,labern_mean,fam_inc_mean
Male,3,13807.0091329687,15643.5686975198
Male,6,20887.7204146836,21250.855158727
Female,3,2713.08676187792,16981.5017946946
Female,4,4526.15975279623,17793.6359931626
Male,2,10849.2643812607,13418.0096510289
Female,1,352.255769692483,15706.7093741687
Female,10,30860.4770995421,32141.2186378319
Male,7,23571.9527160185,23320.4241517977
Female,9,18138.6111232035,27970.1516088059
Male,8,27041.4844602896,25859.9117242866
Male,4,16227.3867587037,17631.3398423209
Male,1,5523.47116990135,9571.73586442045
Male,9,32428.271269512,29918.2232213538
Male,5,18469.5960684409,19424.8727502296
Female,6,8580.93640818819,20939.9476868891
Female,5,6477.66798423063,18720.3829552645
Female,7,10867.9405294531,22673.4533490023
Male,10,47911.1143423404,39834.1420663552
Female,2,1302.49611974496,16064.6035554481
Female,8,13765.042773168,24905.4078335592
