sex,labern_decile,labern_mean
Female,4,12268.5776019627
Male,10,91036.3001179404
Female,6,19542.218608907
Male,6,28663.2318256917
Male,4,19395.5978119223
Female,8,30025.0582508811
Female,1,1956.22055187674
Male,2,10485.1471138357
Female,7,24044.5491145798
Male,1,4460.78259721264
Female,2,5641.0051292966
Male,7,34556.9225593176
Male,5,23753.9105458205
Male,9,54439.0798712124
Male,3,15160.6343627237
Female,5,15749.308990317
Male,8,42408.261262874
Female,9,39644.7315632672
Female,10,70522.9617864671
Female,3,8935.1006676362
