"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8840.02437378693,12063.1735188273,5459.53170116911,20691.6701341483,-2584.75717278959,17816.8956057688,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.474227389015752,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8840.02437378693,12063.1735188273,5459.53170116911,20691.6701341483,-2584.75717278959,17816.8956057688,0.895990482151718,0.359899288271153,8974.33408923466,12102.9000816691,5422.56823694948,21510.9502408309,18944.4165326116,-2856.03452873022,80538672.3451993,15449.4447202618,7078.92324061422,0.358796284865989,-24240965.2310707,-17207077.2044219,39090629.9097081
"Male",1970,"African-American",15682.7795334282,12420.7728018346,22345.7180732491,22297.7924645442,-3701.19420972743,3653.26860102257,0.0854194732933232,0.822738558676858,10402.6500913742,9553.02302934583,14536.8462648643,16403.9437493598,4053.55677619705,-2186.45929170158,108215128.923568,6043.55647373391,5312.17236937283,0.875208971874396,10497627.6035194,-36951667.6208868,81761088.9062003
"Male",1970,"White",15682.7795334282,12420.7728018346,22345.7180732491,22297.7924645442,-3701.19420972743,3653.26860102257,0.914580526706677,0.861419937365647,15893.0384106416,12514.6101979711,23075.0466533023,22848.2628039188,3615.88271307668,-3842.66656246021,252588669.92213,6447.17009797471,7193.865999316,0.861697550487399,84099.7010508487,-81340495.6337514,171332273.989423
"Female",1980,"African-American",11859.6095543666,14478.5735405457,7633.66078938853,19484.6697252549,-3440.27125922531,15291.2801950916,0.116076256256409,0.695864580677153,11234.7576882433,11475.4335722601,7811.32372532818,13932.7375576267,6498.91882377683,-377.50499147832,126219780.313543,11955.0539260191,8111.19867159887,0.619430320297201,9004548.04387431,-45510881.0955716,89713447.2618459
"Female",1980,"White",11859.6095543666,14478.5735405457,7633.66078938853,19484.6697252549,-3440.27125922531,15291.2801950916,0.883923743743591,0.459315746050994,11939.134486485,14672.6845238079,7610.33021520115,20213.7456275249,16445.88702499,-3842.47161266622,142542932.286376,19798.0717980435,10727.4845043438,0.458651895475274,-16444712.6559522,-45635675.9067563,80462543.7236783
"Male",1980,"African-American",22365.3105542039,15632.2926220781,21855.2012027105,21196.482864263,-5138.19154167176,4479.47320322433,0.0895902138552913,0.861110938345484,16255.8147881102,12422.4137891019,15339.8540700872,16721.8593262858,4449.27479912782,-3067.2695429292,264251514.425343,7025.5346469641,8743.46533028554,0.878083619044819,20079937.0345271,-110441758.817435,173889692.642436
"Male",1980,"White",22365.3105542039,15632.2926220781,21855.2012027105,21196.482864263,-5138.19154167176,4479.47320322433,0.910409786144709,0.882928512676005,22778.1456641673,15845.1670652978,22496.3535187736,21636.8147739044,4482.44492158926,-5341.98366645839,518843919.898025,7782.72512722782,11498.8655530472,0.883019961300843,14822976.1283546,-214997226.244781,318669669.781647
"Female",1990,"African-American",15994.3625887612,19234.4601369265,13151.433700133,26791.3623912404,-5280.87557783605,18920.8042689434,0.127502899206521,0.699106365894921,14357.404285508,15422.0412196517,12056.1526324343,18778.91413803,8282.66065858872,-1559.89915299307,206135057.817524,14482.5816492952,9515.83792707259,0.6536408824689,11774869.6017319,-63113459.8235535,154796467.595701
"Female",1990,"White",15994.3625887612,19234.4601369265,13151.433700133,26791.3623912404,-5280.87557783605,18920.8042689434,0.872497100793479,0.499478099809851,16213.6874743549,19455.7116789919,13311.493271048,27962.2664333254,20475.415913225,-5824.64275094772,262883661.516052,22582.4971340346,12231.1104042056,0.499144714766406,-22153786.8558894,-83170093.0867092,157559781.573456
