"sex","decade","race","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"African-American",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.104009517848282,0.635078419962676,7578.27798731648,9037.0847800494,5777.95363805813,13633.9777903134,8103.86126258826,-247.837110332975,57430297.2530456,9409.15552024212,5554.99997777371,0.47418871540194,5179428.6263292,-19116036.9279006,43493688.9514746
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1970,"White",8844.93144645727,12080.6276514583,5459.68262666488,20693.432314715,-2586.45167967011,17820.2013677202,0.895990482151718,0.360096348287249,8979.72780206713,12122.1806239792,5422.73668237248,21512.9169811052,18948.1060382673,-2857.92573953466,80635885.2952359,15495.8192979443,7114.30681374026,0.358995756428149,-24234611.1786831,-17203092.3217906,39198181.7947626
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"African-American",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.116076256256409,0.708940311040157,11398.4296204355,11504.6096291484,7802.15882078165,13903.0152025621,6431.13672479922,-330.280343018741,130044443.670894,11516.8643826597,8059.98770067719,0.630786142872029,9199986.52470073,-46192146.7703998,93052283.4251949
"Female",1980,"White",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.883923743743591,0.465224774610316,11866.1114712446,14464.7972207392,7577.7084367748,20182.3114390112,16407.1412195073,-3802.53821727098,140851251.000382,19294.8527959827,10462.3581350266,0.464523460443541,-16139369.7647081,-44826127.5523807,79885753.6833022
"Female",1980,"White",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.883923743743591,0.465224774610316,11866.1114712446,14464.7972207392,7577.7084367748,20182.3114390112,16407.1412195073,-3802.53821727098,140851251.000382,19294.8527959827,10462.3581350266,0.464523460443541,-16139369.7647081,-44826127.5523807,79885753.6833022
"Female",1980,"White",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.883923743743591,0.465224774610316,11866.1114712446,14464.7972207392,7577.7084367748,20182.3114390112,16407.1412195073,-3802.53821727098,140851251.000382,19294.8527959827,10462.3581350266,0.464523460443541,-16139369.7647081,-44826127.5523807,79885753.6833022
"Female",1980,"White",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.883923743743591,0.465224774610316,11866.1114712446,14464.7972207392,7577.7084367748,20182.3114390112,16407.1412195073,-3802.53821727098,140851251.000382,19294.8527959827,10462.3581350266,0.464523460443541,-16139369.7647081,-44826127.5523807,79885753.6833022
"Female",1980,"White",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.883923743743591,0.465224774610316,11866.1114712446,14464.7972207392,7577.7084367748,20182.3114390112,16407.1412195073,-3802.53821727098,140851251.000382,19294.8527959827,10462.3581350266,0.464523460443541,-16139369.7647081,-44826127.5523807,79885753.6833022
"Female",1980,"White",11813.4801678965,14295.4144853288,7603.76179706563,19453.4342399592,-3399.49152247094,15249.1639653645,0.883923743743591,0.465224774610316,11866.1114712446,14464.7972207392,7577.7084367748,20182.3114390112,16407.1412195073,-3802.53821727098,140851251.000382,19294.8527959827,10462.3581350266,0.464523460443541,-16139369.7647081,-44826127.5523807,79885753.6833022
