"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8873.55210286126,12089.8227640317,5464.66161048727,20681.1545882916,-2576.98063470803,17793.4736125123,0.701814799576631,0.37070975727348,9192.31831754998,12094.6506548835,5555.75435826325,21473.2043148435,18591.2041447727,-2673.75418819239,84498716.0511649,15420.2545041455,7099.98418863573,0.370546762785037,-25048445.4413866,-18235546.1607564,41214724.4490231
"Female",1970,"South",8873.55210286126,12089.8227640317,5464.66161048727,20681.1545882916,-2576.98063470803,17793.4736125123,0.298185200423369,0.380641672858507,8069.94592675409,11872.0033564862,5250.26385220646,18816.9701173469,15915.9186808137,-2349.21241567332,65124027.2607349,14772.9243667827,6641.59173956014,0.380021172152519,-13583698.1584903,-15072411.1705164,36467917.9317289
"Male",1970,"Not South",15725.2223422201,12436.6529038964,22313.1283343704,22274.1141347021,-3691.83914887595,3652.82494920764,0.708512918311131,0.859522149565539,15715.8911650288,12387.9343784307,23213.3787503789,22990.9532689028,3585.05431004581,-3807.47979152188,246989235.111031,6452.12525268847,7173.90898625376,0.859986121889345,904310.216524753,-80555388.3320059,167338156.995536
"Male",1970,"South",15725.2223422201,12436.6529038964,22313.1283343704,22274.1141347021,-3691.83914887595,3652.82494920764,0.291487081688869,0.866566940402426,15532.2650023901,12382.8000326737,20124.9042602147,20531.7048862734,3817.55394182766,-3410.75331576896,241251256.104472,6270.65888401417,6858.06489937894,0.869160814618555,873376.328231212,-75455272.3755772,166669360.057123
"Female",1980,"Not South",11531.6549375671,14112.8148288485,7539.98971109035,19358.2094110112,-3361.62965887594,15179.8493587968,0.673520993817065,0.478356406631335,12029.5716367287,14350.9020406345,7711.95005779553,19792.1374993494,15490.7049678746,-3410.51752632076,144710593.763188,18974.9379592278,10424.0033500007,0.478521031125375,-15257072.0790533,-46872365.7691228,82581155.9150165
"Female",1980,"South",11531.6549375671,14112.8148288485,7539.98971109035,19358.2094110112,-3361.62965887594,15179.8493587968,0.326479006182935,0.461533852094581,10420.9247981318,13565.0231037229,7185.23825259965,18463.0226707683,14538.5591845601,-3260.77476639143,108595673.648318,18080.5712193624,9647.06162533349,0.462505915328641,-7521978.69485731,-35831230.0915392,65242464.861918
"Male",1980,"Not South",21794.9367035681,15354.2222364364,21730.1956977112,21112.1829768264,-5078.86988930332,4460.85716841854,0.676485249253655,0.881049007110108,22315.8715347385,15730.6195948797,22306.6696561444,21555.3530469564,4403.36560711163,-5154.6822162997,497998122.354952,7729.79092744457,11300.1189545252,0.881133105490916,15794859.568652,-204507348.143565,309285633.780042
"Male",1980,"South",21794.9367035681,15354.2222364364,21730.1956977112,21112.1829768264,-5078.86988930332,4460.85716841854,0.323514750746345,0.886132045438942,20611.7454155161,14492.3472065597,20524.7603085698,20185.492571947,4581.07484965552,-4920.34258627825,424844049.074048,7316.73497441343,10188.4508808477,0.886543182305616,13067696.7052813,-173212964.156693,264698781.622626
"Female",1990,"Not South",16176.0222046927,19375.1681372748,13184.4129340818,26872.8773685527,-5313.75558492872,19002.2200193996,0.658099433239913,0.520126374994661,16661.0619203386,19670.6258244509,13572.8888830839,27736.1768389508,19684.0967442458,-5520.80878837891,277590984.313356,22781.8483139205,12265.362815454,0.520507040498641,-18583271.861833,-88544867.3963805,170462845.055146
"Female",1990,"South",16176.0222046927,19375.1681372748,13184.4129340818,26872.8773685527,-5313.75558492872,19002.2200193996,0.341900566760087,0.515037194815826,15171.2798577078,18681.8593441564,12436.6639487897,25211.175261507,17689.7253066439,-4915.21399392665,230167732.520891,21524.6541712948,11301.2679776339,0.516751340944733,-10483149.8125868,-73708766.734741,145975815.973564
"Male",1990,"Not South",24514.0465898056,20150.1263451305,27952.4866633222,29100.3037959971,-7170.65483101888,8318.47196369374,0.665629145686897,0.854265261355773,24810.054250411,20327.6861706769,28889.4825938524,29875.6717094606,8397.93719543984,-7411.74807983172,615538791.908339,12208.3688655872,12010.7744589334,0.854474842870396,25142637.1460887,-209848978.365935,430832450.688507
"Male",1990,"South",24514.0465898056,20150.1263451305,27952.4866633222,29100.3037959971,-7170.65483101888,8318.47196369374,0.334370854313103,0.852235968595919,23804.9570026316,19701.7931803634,26087.2170302013,27556.7856478858,8160.28121938492,-6690.71260170034,566675977.897141,11722.3008836773,11405.8893498079,0.853137567367165,20164916.5394413,-187141935.802619,399698958.63397
"Female",2000,"Not South",21168.9626598861,22207.514353765,17278.4104668646,32077.2584553547,-6965.35125944403,21764.1992479341,0.647967960579944,0.568826180589009,21795.847118758,22392.331785272,17705.2753136901,32789.3239098918,22310.2606685927,-7226.21207239097,475058951.624273,27153.1431722454,17135.4139912346,0.569052148765275,-16725917.253442,-180711819.557163,277621214.813667
"Female",2000,"South",21168.9626598861,22207.514353765,17278.4104668646,32077.2584553547,-6965.35125944403,21764.1992479341,0.352032039420056,0.569650486580642,19940.2644382064,21803.0040992009,16492.7014595354,30766.5947977627,20759.0910035867,-6485.19766535946,397614145.8656,26536.195041678,16192.5785816924,0.57054570331601,-7379797.59267273,-142574431.559152,247659916.713773
"Male",2000,"Not South",30093.5774978785,22631.2917068454,32348.2298573,34324.4711816002,-9038.37603123377,11014.6173555339,0.655967976191103,0.805310465280387,30841.672145607,23079.8378742713,33183.2792029446,35021.4880816794,11114.8627683969,-9276.65388966204,951208740.73711,16710.3993446476,17814.9795827993,0.805465606790422,32317700.7807265,-410289707.597708,573236733.920142
"Male",2000,"South",30093.5774978785,22631.2917068454,32348.2298573,34324.4711816002,-9038.37603123377,11014.6173555339,0.344032023808897,0.799699611818302,28546.1316841502,21688.9784097012,30756.0361329553,32995.464770354,10823.4788101445,-8584.05017274578,814881634.128843,15792.1541401641,16563.208482966,0.800369863322582,35805427.4337673,-355563895.807776,495123165.754852
"Female",2010,"Not South",22904.2657473914,24922.0178723592,17994.079020914,32850.676104765,-5625.20560607031,20481.8026899213,0.624834362363517,0.620040415362667,23585.313074644,25311.0344859437,18485.8297180322,33859.0793733052,21202.3019507937,-5829.0522955207,556266992.828972,27582.8329271201,15634.3825976112,0.620244129937687,7965909.34103194,-194088198.456238,370144703.713741
"Female",2010,"South",22904.2657473914,24922.0178723592,17994.079020914,32850.676104765,-5625.20560607031,20481.8026899213,0.375165637636483,0.612668606107774,21698.2974441081,24167.4622451165,17175.0734872214,31171.1912317018,19281.8188665445,-5285.70112206404,470816111.97299,26636.7237230099,14131.5634670813,0.613374523028138,7705601.63688013,-157242717.422004,321278996.187871
"Male",2010,"Not South",30961.223206799,25424.385816733,31386.5914024437,35319.0172391148,-7430.33550214535,11362.7613388165,0.636530704314794,0.829526464646921,31775.5071035413,25941.7356909578,32103.4987346196,36190.5251619821,11668.7841472654,-7581.7577199029,1009682851.6872,17927.5634610164,16001.9704876694,0.829605163038091,47609829.758688,-373504222.645577,683788458.800318
"Male",2010,"South",30961.223206799,25424.385816733,31386.5914024437,35319.0172391148,-7430.33550214535,11362.7613388165,0.363469295685206,0.835190229844049,29439.629212419,24417.7210075158,30131.0973772384,33792.7767600865,10826.8346013703,-7165.15521852218,866691768.164714,16719.9578978174,14470.5681196036,0.835464539947132,49868059.3012898,-316184456.016474,600375371.449515
