"sex","decade","region","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","r_std_g","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"Not South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.701814799576631,0.366503954404363,9161.44504870879,12090.0563580873,5554.54463331806,21474.8225533769,18598.7630338916,-2678.48511383272,83932493.3079829,15499.6618074762,7156.93889360929,0.366347066053243,-24996665.9932952,-18340604.3777933,40595222.9368955
"Female",1970,"South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.298185200423369,0.381631170543347,8083.63791822574,11853.6315314748,5250.8207506474,18814.9787631986,15911.8486343674,-2347.69062181619,65346027.3875462,14729.5667024665,6637.78586517725,0.380954632854171,-13603206.5035426,-15174569.6023917,36568251.2816122
"Female",1970,"South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.298185200423369,0.381631170543347,8083.63791822574,11853.6315314748,5250.8207506474,18814.9787631986,15911.8486343674,-2347.69062181619,65346027.3875462,14729.5667024665,6637.78586517725,0.380954632854171,-13603206.5035426,-15174569.6023917,36568251.2816122
"Female",1970,"South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.298185200423369,0.381631170543347,8083.63791822574,11853.6315314748,5250.8207506474,18814.9787631986,15911.8486343674,-2347.69062181619,65346027.3875462,14729.5667024665,6637.78586517725,0.380954632854171,-13603206.5035426,-15174569.6023917,36568251.2816122
"Female",1970,"South",8854.84130507378,12081.3975419469,5463.97866649054,20681.6964997077,-2579.84709193183,17797.564925149,0.298185200423369,0.381631170543347,8083.63791822574,11853.6315314748,5250.8207506474,18814.9787631986,15911.8486343674,-2347.69062181619,65346027.3875462,14729.5667024665,6637.78586517725,0.380954632854171,-13603206.5035426,-15174569.6023917,36568251.2816122
