"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8849.92974672878,12063.9533838927,5463.82949893263,20679.9358697729,-2578.15022780649,17794.2565986468,0.407880825001165,-0.014177767354457,1722.67677945812,11850.853299465,193.556735060931,20319.7665464197,22844.2951943535,-2718.08538299469,2967615.28648422,15379.9239497413,5983.42140264912,-4421667.30872494,1164610.2108194,-289441.811421273
"Female",1970,"Married or cohabiting:Two earners",8849.92974672878,12063.9533838927,5463.82949893263,20679.9358697729,-2578.15022780649,17794.2565986468,0.410776049912379,0.596556621692192,7435.03761093502,11542.0751702427,7996.25719234223,23950.6237185255,20635.3477278235,-4680.98120164018,55279784.2760184,12666.0745870713,6263.9538321179,19502298.0121481,-23588120.6255529,51193961.6626175
"Female",1970,"Married or cohabiting:Zero earners",8849.92974672878,12063.9533838927,5463.82949893263,20679.9358697729,-2578.15022780649,17794.2565986468,0.00831606728870594,NA,0,9928.02004662784,0,8280.13041620206,0,8280.13041620206,0,0,9928.02004662784,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8849.92974672878,12063.9533838927,5463.82949893263,20679.9358697729,-2578.15022780649,17794.2565986468,0.133394032794528,0.846230418577744,13665.2058084474,10726.2783341865,15744.4109800075,16535.2817440498,0,790.870764042235,186737849.787225,0,7329.07916245264,NA,-62700102.127142,124037747.660081
"Female",1970,"Not married or cohabiting:Zero earners",8849.92974672878,12063.9533838927,5463.82949893263,20679.9358697729,-2578.15022780649,17794.2565986468,0.0396330250032216,NA,0,7055.36906903078,0,7039.18224760515,0,7039.18224760515,0,0,7055.36906903078,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",15671.0243559416,12420.1513951399,22311.0968897805,22273.3026768287,-3691.15029627446,3653.35608332258,0.442745998994968,0.921328667931052,15378.1621454784,11848.3501573197,22837.0894855274,20316.3879009405,194.540255114216,-2715.24183970104,236487870.972624,1727.06187913385,5983.54467643101,-4442733.33116152,-64173664.6862722,167871472.955193
"Male",1970,"Married or cohabiting:Two earners",15671.0243559416,12420.1513951399,22311.0968897805,22273.3026768287,-3691.15029627446,3653.35608332258,0.445972954330879,0.842373779171206,12662.7109296659,11537.9566374073,20628.0363255909,23947.7422935877,7998.74550482424,-4679.03953682748,160344248.088279,7434.34423317384,6261.37583006856,19471134.7670065,-56743049.3431875,123072333.512094
"Male",1970,"Married or cohabiting:Zero earners",15671.0243559416,12420.1513951399,22311.0968897805,22273.3026768287,-3691.15029627446,3653.35608332258,0.00904365088469821,NA,0,9918.15389471103,0,8269.91956038493,0,8269.91956038493,0,0,9918.15389471103,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",15671.0243559416,12420.1513951399,22311.0968897805,22273.3026768287,-3691.15029627446,3653.35608332258,0.0962698261705002,0.914298758415428,23454.2133246481,15822.3835517481,31167.8197474944,25722.8373726883,0,-5444.98237480606,550100122.678102,0,11038.6844517296,NA,-210802427.922164,339297694.75594
"Male",1970,"Not married or cohabiting:Zero earners",15671.0243559416,12420.1513951399,22311.0968897805,22273.3026768287,-3691.15029627446,3653.35608332258,0.00596756961895444,NA,0,10416.8178875062,0,7898.44017110503,0,7898.44017110503,0,0,10416.8178875062,NA,NA,NA
"Female",1980,"Married or cohabiting:One earner",11882.6662925064,14469.6470387834,7638.15985384037,19447.7731107226,-3429.69079568318,15239.3040525654,0.265593472860045,0.0204752910176464,3100.47128286135,13579.8676464579,515.148816676822,17857.7667168318,20266.0632342589,-2923.44533410388,9612922.17584789,19591.7605922297,8652.53627373685,-10440038.843617,1689208.10912105,862091.441351871
"Female",1980,"Married or cohabiting:Two earners",11882.6662925064,14469.6470387834,7638.15985384037,19447.7731107226,-3429.69079568318,15239.3040525654,0.41384380445231,0.4829206560901,8863.38192737444,13507.2427743946,9537.27325936818,25567.1660460381,23817.6090373564,-7787.71625068647,78559539.1905078,19500.679912844,10607.3543324851,22130662.5281069,-42875012.4875234,57815189.2310847
"Female",1980,"Married or cohabiting:Zero earners",11882.6662925064,14469.6470387834,7638.15985384037,19447.7731107226,-3429.69079568318,15239.3040525654,0.0757140220375437,NA,0,7966.80862126662,0,3699.40012620302,0,3699.40012620302,0,0,7966.80862126662,NA,NA,NA
"Female",1980,"Not married or cohabiting:One earner",11882.6662925064,14469.6470387834,7638.15985384037,19447.7731107226,-3429.69079568318,15239.3040525654,0.192683468928549,0.844186818404906,17820.9808884973,13104.5790929172,18446.8250472451,18294.1933513851,0,-152.631695859954,317587359.828186,0,9747.84907529193,NA,-120438964.110167,197148395.718019
"Female",1980,"Not married or cohabiting:Zero earners",11882.6662925064,14469.6470387834,7638.15985384037,19447.7731107226,-3429.69079568318,15239.3040525654,0.0521652317215525,NA,0,6945.08654879347,0,6114.57969065374,0,6114.57969065374,0,0,6945.08654879347,NA,NA,NA
"Male",1980,"Married or cohabiting:One earner",22310.6614588343,15620.5848295119,21766.0388820459,21142.4555339824,-5110.34087193247,4486.75752386892,0.289930526227493,0.90289653199918,19588.2305629399,13574.259735639,20244.6343345351,17846.2604982943,518.191229163478,-2916.5650654043,383698776.586894,3113.08197283882,8647.80544955326,-10490592.3004206,-133131852.317114,240076331.969354
"Male",1980,"Married or cohabiting:Two earners",22310.6614588343,15620.5848295119,21766.0388820459,21142.4555339824,-5110.34087193247,4486.75752386892,0.453425122496976,0.867730100671769,19517.5614329611,13524.3209489791,23800.5643097409,25583.8717931982,9563.91221604621,-7780.60473258897,380935204.289411,8877.57897737022,10615.0450056509,22141991.4210915,-174029626.827578,229047568.882918
"Male",1980,"Married or cohabiting:Zero earners",22310.6614588343,15620.5848295119,21766.0388820459,21142.4555339824,-5110.34087193247,4486.75752386892,0.0829678776868025,NA,0,7953.40253699429,0,3705.2580908401,0,3705.2580908401,0,0,7953.40253699429,NA,NA,NA
"Male",1980,"Not married or cohabiting:One earner",22310.6614588343,15620.5848295119,21766.0388820459,21142.4555339824,-5110.34087193247,4486.75752386892,0.156278983033356,0.929809396347421,30474.5192245062,18992.7495082294,32664.1977662472,25259.407130855,0,-7404.79063539226,928696321.9648,0,14597.3615447293,NA,-390527376.074998,538168945.889792
"Male",1980,"Not married or cohabiting:Zero earners",22310.6614588343,15620.5848295119,21766.0388820459,21142.4555339824,-5110.34087193247,4486.75752386892,0.0173974905553717,NA,0,11547.840489869,0,6493.91220344186,0,6493.91220344186,0,0,11547.840489869,NA,NA,NA
"Female",1990,"Married or cohabiting:One earner",16061.5215748105,19260.6355741851,13136.9668034227,26773.0159812577,-5270.72930940572,18906.7784872407,0.180672770564479,0.0284511458322913,5512.60194151361,18561.8324286074,1351.02110386113,24102.4705141168,26171.8845532119,-3420.43514295619,30388780.1655797,24771.7815821858,10398.2821438958,-35358769.747106,7881224.44228184,2911234.86075547
