"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",12068.2365766069,18798.0924703428,8716.49148916604,37645.064955035,-4067.60057889231,32996.1740447612,0.40342966761006,-0.0491871532101198,2957.92135984328,17659.474045919,345.739989989264,38870.5378530854,43118.2369900499,-4593.4391269537,8749298.7710171,22031.748852392,9100.82741003853,-14907699.2295466,3589093.00909486,-2569307.44943459
"Female",1970,"Married or cohabiting:Two earners",12068.2365766069,18798.0924703428,8716.49148916604,37645.064955035,-4067.60057889231,32996.1740447612,0.411738976267735,0.494707784498335,11435.9168293255,16631.4756190755,14331.9630652115,44322.0051681727,37890.5057018187,-7900.46359885749,130780193.72725,17461.4404693967,9025.74034504049,7037853.68299646,-43726520.57535,94091526.8349127
"Female",1970,"Married or cohabiting:Zero earners",12068.2365766069,18798.0924703428,8716.49148916604,37645.064955035,-4067.60057889231,32996.1740447612,0.00845016508869858,NA,0,14901.2012593078,0,15633.6364244779,0,15633.6364244779,0,0,14901.2012593078,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",12068.2365766069,18798.0924703428,8716.49148916604,37645.064955035,-4067.60057889231,32996.1740447612,0.135981466851783,0.707293583893287,14080.6416485474,14122.3698357088,19679.0193656666,22681.6398141991,0,3002.6204485325,198264469.234807,0,10789.4518240031,NA,-57617705.0603756,140646764.174432
"Female",1970,"Not married or cohabiting:Zero earners",12068.2365766069,18798.0924703428,8716.49148916604,37645.064955035,-4067.60057889231,32996.1740447612,0.0403997241817231,NA,0,11424.3675506634,0,12328.061735306,0,12328.061735306,0,0,11424.3675506634,NA,NA,NA
"Female",1980,"Married or cohabiting:One earner",13899.5586312977,18752.3488734723,12436.932514397,36732.6503430467,-6362.57250984474,30658.2903384945,0.263001367219092,-0.0774911047513805,5118.81753169279,18146.4642598357,1027.99580034235,38451.6963452187,44015.2166288799,-6591.51608400354,26202292.9227655,26920.7742240601,12242.4245904079,-45247459.4099679,11847138.700125,-7198027.78707772
"Female",1980,"Married or cohabiting:Two earners",13899.5586312977,18752.3488734723,12436.932514397,36732.6503430467,-6362.57250984474,30658.2903384945,0.474435184435676,0.444066543612547,12596.4475855444,15780.6671045712,16427.9164715275,44516.6128719116,40220.9381021187,-12132.2417017346,158670491.775366,20109.4139561883,11995.2904020702,3663554.21540855,-74062344.7832763,88271701.207488
"Female",1980,"Married or cohabiting:Zero earners",13899.5586312977,18752.3488734723,12436.932514397,36732.6503430467,-6362.57250984474,30658.2903384945,0.0135053333737969,NA,0,13388.7295892969,0,14613.3497954266,0,14613.3497954266,0,0,13388.7295892969,NA,NA,NA
"Female",1980,"Not married or cohabiting:One earner",13899.5586312977,18752.3488734723,12436.932514397,36732.6503430467,-6362.57250984474,30658.2903384945,0.198118748264383,0.683018323160617,14365.0600321294,13698.9947071219,22070.5343166884,23988.7486143886,0,1918.21429770015,206354949.726682,0,11189.249942525,NA,-71945904.0086126,134409045.718065
"Female",1980,"Not married or cohabiting:Zero earners",13899.5586312977,18752.3488734723,12436.932514397,36732.6503430467,-6362.57250984474,30658.2903384945,0.0509393667070532,NA,0,9609.46526569982,0,10788.8107164289,0,10788.8107164289,0,0,9609.46526569982,NA,NA,NA
