"sex","decade","fam_structure","sigma_x","sigma_y","mu_x","mu_y","mu_other","mu_pn","pi_g","r_g","sigma_gx","sigma_gy","mu_gx","mu_gy","mu_g_pn","mu_g_oth","var_xg","sigma_gpartner","sigma_gother","cov_xg_partnerg","cov_xg_otherg","cov_xg_yg"
"Female",1970,"Married or cohabiting:One earner",8337.23540613345,10198.4387611223,5288.50652450814,19580.6809131145,-2322.33602445758,16614.5104130639,0.40342966761006,-0.0118212088503723,1714.26694859735,9039.53842357458,194.847470529123,18913.2615958811,21100.1730485044,-2381.75892315237,2938711.17105328,11544.4240292056,4517.81659802296,-4111315.45771433,989420.683445449,-183183.603215616
"Female",1970,"Married or cohabiting:Two earners",8337.23540613345,10198.4387611223,5288.50652450814,19580.6809131145,-2322.33602445758,16614.5104130639,0.411738976267735,0.636507977491669,6857.53837476082,9849.05254785029,7769.87932194628,23040.3703470135,19677.6965033368,-4407.20547826954,47025832.5613172,9929.33434136563,5050.28568832441,14916425.3262755,-18952346.2678452,42989911.6197495
"Female",1970,"Married or cohabiting:Zero earners",8337.23540613345,10198.4387611223,5288.50652450814,19580.6809131145,-2322.33602445758,16614.5104130639,0.00845016508869858,NA,0,7805.62884876801,0,7709.54573427025,0,7709.54573427025,0,0,7805.62884876801,NA,NA,NA
"Female",1970,"Not married or cohabiting:One earner",8337.23540613345,10198.4387611223,5288.50652450814,19580.6809131145,-2322.33602445758,16614.5104130639,0.135981466851783,0.841113959705399,12813.1442007906,10108.9544413293,14786.8467891112,15638.7285995657,0,851.881810454549,164176664.310253,0,6962.24551104778,NA,-55229283.4847438,108947380.825507
"Female",1970,"Not married or cohabiting:Zero earners",8337.23540613345,10198.4387611223,5288.50652450814,19580.6809131145,-2322.33602445758,16614.5104130639,0.0403997241817231,NA,0,6322.79616401868,0,6736.86247098299,0,6736.86247098299,0,0,6322.79616401868,NA,NA,NA
"Female",1980,"Married or cohabiting:One earner",10056.2905957866,10474.5813124579,7887.47563086104,20367.1399250293,-3775.4719822722,16255.1362764404,0.263001367219092,-0.0323736999743913,2979.02842103681,9567.15720579699,581.487704753627,19516.4426834727,22448.3788329413,-3513.4238542223,8874610.33334509,14460.8903058575,6308.9200231649,-13053456.7342984,3256168.97711997,-922677.423833247
"Female",1980,"Married or cohabiting:Two earners",10056.2905957866,10474.5813124579,7887.47563086104,20367.1399250293,-3775.4719822722,16255.1362764404,0.474435184435676,0.594907938499345,7775.12463453316,9485.58505187143,9260.54548813199,24137.0377448428,21817.9053558962,-6941.41309918547,60452563.0825244,11660.6669463811,7032.68107417041,15936332.3218711,-32513479.5121076,43875415.8922853
"Female",1980,"Married or cohabiting:Zero earners",10056.2905957866,10474.5813124579,7887.47563086104,20367.1399250293,-3775.4719822722,16255.1362764404,0.0135053333737969,NA,0,7281.51516673283,0,7431.31993651677,0,7431.31993651677,0,0,7281.51516673283,NA,NA,NA
"Female",1980,"Not married or cohabiting:One earner",10056.2905957866,10474.5813124579,7887.47563086104,20367.1399250293,-3775.4719822722,16255.1362764404,0.198118748264383,0.817985354544699,13331.0645347576,9788.19821636822,16863.6991305558,17002.1628873048,0,138.463756748958,177717281.629871,0,7749.38894371186,NA,-70980743.1539402,106736538.475927
"Female",1980,"Not married or cohabiting:Zero earners",10056.2905957866,10474.5813124579,7887.47563086104,20367.1399250293,-3775.4719822722,16255.1362764404,0.0509393667070532,NA,0,5511.30973341556,0,6164.56779789803,0,6164.56779789803,0,0,5511.30973341556,NA,NA,NA
"Female",1990,"Married or cohabiting:One earner",14074.6634380111,14509.0751761541,12208.3902584773,24350.9848335354,-4978.94644582087,17121.541020879,0.177760570031885,0.0187797104651109,5296.35018813818,13192.3523568324,1350.75705025245,21811.6019430817,23964.4334671517,-3503.58857432243,28051325.3153913,19043.6944192101,7519.15721415918,-32370128.7762116,5630966.58055602,1312163.11973535
"Female",1990,"Married or cohabiting:Two earners",14074.6634380111,14509.0751761541,12208.3902584773,24350.9848335354,-4978.94644582087,17121.541020879,0.524869594366292,0.649940375605281,10546.4006222965,13456.2154429117,13021.1202433837,29099.1515538584,24504.3908150092,-8426.35950453442,111226566.085976,14727.0095035557,8252.77308463891,36023650.1761946,-55014162.5380383,92236053.7241243
"Female",1990,"Married or cohabiting:Zero earners",14074.6634380111,14509.0751761541,12208.3902584773,24350.9848335354,-4978.94644582087,17121.541020879,0.0120171138470561,NA,0,7824.04218966634,0,7692.3036069333,0,7692.3036069333,0,0,7824.04218966634,NA,NA,NA
"Female",1990,"Not married or cohabiting:One earner",14074.6634380111,14509.0751761541,12208.3902584773,24350.9848335354,-4978.94644582087,17121.541020879,0.232323278240789,0.875181592512908,18673.4339840094,13711.1943910792,22098.0387922614,20725.4900293053,0,-1372.54876295611,348697136.755156,0,9409.54858084268,NA,-124619944.810217,224077191.94494
"Female",1990,"Not married or cohabiting:Zero earners",14074.6634380111,14509.0751761541,12208.3902584773,24350.9848335354,-4978.94644582087,17121.541020879,0.0530294435139779,NA,0,6087.80092105704,0,5525.78099984854,0,5525.78099984854,0,0,6087.80092105704,NA,NA,NA
"Female",2000,"Married or cohabiting:One earner",18276.1777533963,18212.4834014465,16031.3808077497,29529.5897784836,-6041.0393814924,19539.2483522263,0.164956957733577,0.0804443104821396,8433.99008417621,16044.8458188938,2538.59346098355,24944.3789091916,25927.1284687381,-3521.3430205301,71132188.7399826,25831.2604923688,12045.4130584997,-65818441.329836,5572143.24735414,10885890.6575001
"Female",2000,"Married or cohabiting:Two earners",18276.1777533963,18212.4834014465,16031.3808077497,29529.5897784836,-6041.0393814924,19539.2483522263,0.526373809341165,0.665557907095489,14207.3235907476,16658.7255605864,17340.8632296836,36000.518630634,28995.3410416806,-10335.6856407302,201848043.612212,19068.613164708,12499.668368443,71231229.6614778,-115557753.515772,157521519.757926
"Female",2000,"Married or cohabiting:Zero earners",18276.1777533963,18212.4834014465,16031.3808077497,29529.5897784836,-6041.0393814924,19539.2483522263,0.0119646934026397,NA,0,9932.7294492904,0,8603.63087671661,0,8603.63087671661,0,0,9932.7294492904,NA,NA,NA
"Female",2000,"Not married or cohabiting:One earner",18276.1777533963,18212.4834014465,16031.3808077497,29529.5897784836,-6041.0393814924,19539.2483522263,0.25170886290302,0.872150770027158,24135.4221964512,17446.9642702769,25763.2800181904,24064.2700259198,0,-1699.00999227062,582518604.600948,0,12345.3430589824,NA,-215264768.798296,367253835.802639
"Female",2000,"Not married or cohabiting:Zero earners",18276.1777533963,18212.4834014465,16031.3808077497,29529.5897784836,-6041.0393814924,19539.2483522263,0.0449956766195981,NA,0,9183.95661094063,0,6778.00543769583,0,6778.00543769583,0,0,9183.95661094063,NA,NA,NA
"Female",2010,"Married or cohabiting:One earner",19030.4351606744,19980.2642538744,16431.285401565,29887.5975867566,-4599.59391686752,18055.9061020592,0.18669652742157,0.148185863762256,10302.2851805142,16100.7994962116,3503.50630568464,25185.5875251671,23370.9856028482,-1688.90438336572,106137079.940642,23257.3752386337,9114.65537600028,-81880398.163763,323652.530447899,24580334.3073256
"Female",2010,"Married or cohabiting:Two earners",19030.4351606744,19980.2642538744,16431.285401565,29887.5975867566,-4599.59391686752,18055.9061020592,0.469076961296139,0.691630340576949,15393.8875791079,18540.3222403765,19481.9745374825,39114.9670047248,29190.5707962141,-9557.57832897179,236971774.798212,19717.5122282128,11596.0914528844,77897971.0912961,-117473165.227484,197396580.662012
"Female",2010,"Married or cohabiting:Zero earners",19030.4351606744,19980.2642538744,16431.285401565,29887.5975867566,-4599.59391686752,18055.9061020592,0.018844158560899,NA,0,10057.1419742527,0,8501.4945228975,0,8501.4945228975,0,0,10057.1419742527,NA,NA,NA
"Female",2010,"Not married or cohabiting:One earner",19030.4351606744,19980.2642538744,16431.285401565,29887.5975867566,-4599.59391686752,18055.9061020592,0.257323364608257,0.904386090315322,24109.4461815532,18112.8742753517,25798.8524847308,24204.4979059715,0,-1594.35457875932,581265395.18121,0,10930.0691936212,NA,-186327796.621929,394937598.559278
"Female",2010,"Not married or cohabiting:Zero earners",19030.4351606744,19980.2642538744,16431.285401565,29887.5975867566,-4599.59391686752,18055.9061020592,0.0680589881131341,NA,0,8848.75884356389,0,6597.50685100217,0,6597.50685100217,0,0,8848.75884356389,NA,NA,NA
"Male",1970,"Married or cohabiting:One earner",12322.8363147249,10323.9301365678,20775.8393101931,20982.7753350396,-3361.52660322358,3568.46262807014,0.43894420281745,0.908549332166259,11545.9486383707,9039.49197803944,21093.8799561087,18910.6246190722,195.861582077376,-2379.11691911384,133308929.959893,1718.82344073203,4519.38248511187,-4131480.81227783,-34352600.4519178,94824848.6957017
"Male",1970,"Married or cohabiting:Two earners",12322.8363147249,10323.9301365678,20775.8393101931,20982.7753350396,-3361.52660322358,3568.46262807014,0.448068617627237,0.822839240457175,9927.93127518928,9846.98877293971,19670.5746550087,23037.8843054772,7772.22546962622,-4404.91581915768,98563819.4048816,6857.16132883209,5049.66822780915,14887714.5139061,-33010582.324542,80440951.5942383
"Male",1970,"Married or cohabiting:Zero earners",12322.8363147249,10323.9301365678,20775.8393101931,20982.7753350396,-3361.52660322358,3568.46262807014,0.00921093720665402,NA,0,7799.86003579522,0,7699.69438103245,0,7699.69438103245,0,0,7799.86003579522,NA,NA,NA
"Male",1970,"Not married or cohabiting:One earner",12322.8363147249,10323.9301365678,20775.8393101931,20982.7753350396,-3361.52660322358,3568.46262807014,0.0976839896413727,0.928914058611697,19549.2187909882,14004.836287032,27671.2264195241,22978.992715902,0,-4692.23370362214,382171955.337928,0,8346.52673112876,NA,-127850512.192403,254321443.145525
"Male",1970,"Not married or cohabiting:Zero earners",12322.8363147249,10323.9301365678,20775.8393101931,20982.7753350396,-3361.52660322358,3568.46262807014,0.00609225270728662,NA,0,9948.29783558477,0,7207.87978698961,0,7207.87978698961,0,0,9948.29783558477,NA,NA,NA
"Male",1980,"Married or cohabiting:One earner",14956.9069533217,10725.5772331619,22614.7224376305,22131.5759900895,-5491.09512691326,5007.94867937233,0.287854747639577,0.886713732855896,14467.4382930107,9567.07603542859,22427.4118107601,19510.9022889635,586.378451107572,-3502.88797290413,209306770.762072,2995.09935554743,6314.55040056508,-13150951.4533965,-73424811.9539217,122731007.354752
