var,1969,1970,1971,1979,1980,1981,1989,1990,1991,1999,2000,2001,2009,2010,2011
incaloth,50000,50000,50000,50000,50000,50000,,,,,,,,,
incbus,50000,50000,50000,50000,50000,50000,,,,,,,,,
incdrt,,,,50000,50000,50000,,,,,,,,,
incfarm,99900,99900,99900,50000,50000,50000,,,,,,,,,
incgov,29999,29999,29999,29999,29999,29999,,,,,,,,,
incidr,50000,50000,50000,,,,,,,,,,,,
incretir,99900,99900,99900,50000,50000,50000,,,,,,,,,
incss,,,,9999,9999,9999,29999,29999,29999,50000,50000,50000,50000,50000,50000
incssi,,,,5999,5999,5999,9999,9999,9999,25000,25000,25000,25000,25000,25000
incwage,50000,50000,50000,50000,50000,50000,,,,,,,,,
incwelfr,,,,19999,19999,19999,19999,19999,19999,25000,25000,25000,25000,25000,25000
inclongj,,,,,,,99997,99997,99997,150000,150000,150000,200000,200000,250000
incalim,,,,,,,99997,99997,99997,50000,40000,40000,45000,45000,66000
incasist,,,,,,,99997,99997,99997,30000,30000,30000,30000,30000,30000
oincbus,,,,,,,99997,99997,99997,40000,40000,40000,50000,50000,60000
incchild,,,,,,,99997,99997,99997,15000,15000,15000,15000,15000,21000
INCDISA1,,,,,,,99997,99997,99997,35000,35000,35000,35000,35000,48000
INCDISA2,,,,,,,99997,99997,99997,35000,35000,35000,35000,35000,
incdivid,,,,,,,99997,99997,99997,15000,15000,15000,15000,15000,20000
inceduc,,,,,,,99997,99997,99997,20000,20000,20000,20000,20000,30000
oincfarm,,,,,,,99997,99997,99997,25000,25000,25000,25000,25000,30000
incint,,,,,,,99997,99997,99997,15000,15000,15000,15000,15000,24000
incother,,,,,,,99997,99997,99997,25000,25000,25000,25000,25000,30000
incrent,,,,,,,99997,99997,99997,25000,25000,25000,40000,40000,50000
INCRETI1,,,,,,,99997,99997,99997,45000,45000,45000,45000,45000,64000
INCRETI2,,,,,,,99997,99997,99997,45000,45000,45000,45000,45000,
INCSURV1,,,,,,,99997,99997,99997,50000,50000,50000,50000,50000,57600
INCSURV2,,,,,,,99997,99997,99997,50000,50000,50000,50000,50000,
incunemp,,,,,,,99997,99997,99997,99997,99997,99997,99997,99997,99997
incvet,,,,,,,29999,29999,29999,99997,99997,99997,99997,99997,99997
oincwage,,,,,,,99997,99997,99997,25000,25000,25000,35000,35000,47000
incwkcom,,,,,,,99997,99997,99997,99997,99997,99997,99997,99997,99997
adjginc,,,,,,,,,,99997,99997,99997,99997,99997,9999997
capgain,,,,,,,,,,99997,99997,99997,99997,99997,99997
fedtax,,,,,,,,,,99997,99997,99997,99997,99997,999997
fedtaxac,,,,,,,,,,99997,99997,99997,99997,99997,999997
statetax,,,,,,,,,,99997,99997,99997,99997,99997,999997
stataxac,,,,,,,,,,,,,99997,99997,999997
taxinc,,,,,,,,,,99997,99997,99997,99997,99997,9999997
